,name,code
386,넥스턴바이오,89140
387,넥스트아이,137940
388,넥스트칩,396270
389,넥스틴,348210
390,넥슨게임즈,225570
391,넵튠,217270
392,넷마블,251270
393,노드메이슨,317860
394,노랑풍선,104620
395,노루페인트,90350
396,노루홀딩스,320
397,노바렉스,194700
398,노바텍,285490
399,노브메타파마,229500
400,노블엠앤비,106520
401,노을,376930
402,노터스,278650
403,녹십자,6280
404,녹십자엠에스,142280
405,녹십자웰빙,234690
406,녹십자홀딩스,5250
407,녹원씨엔아이,65560
408,농심,4370
409,농심홀딩스,72710
410,농우바이오,54050
411,누리플랜,69140
412,누리플렉스,40160
413,누보,332290
414,뉴로메카,348340
415,뉴보텍,60260
416,뉴인텍,12340
417,뉴지랩파마,214870
418,뉴트리,270870
419,뉴파워프라즈마,144960
420,뉴프렉스,85670
421,다날,64260
422,다믈멀티미디어,93640
423,다보링크,340360
424,다산네트웍스,39560
425,다스코,58730
426,다올인베스트먼트,298870
427,다올투자증권,30210
428,다우기술,23590
429,다우데이타,32190
430,다원넥스뷰,323350
431,다원시스,68240
432,다이나믹디자인,145210
433,다이오진,271850
434,대교,19680
435,대구백화점,6370
436,대덕,8060
437,대덕전자,353200
438,대동,490
439,대동고려삼,178600
440,대동금속,20400
441,대동기어,8830
442,대동스틸,48470
443,대동전자,8110
444,대륙제관,4780
445,대림B&Co,5750
446,대림제지,17650
447,대림통상,6570
448,대명소노시즌,7720
449,대명에너지,389260
450,대모,317850
451,대보마그네틱,290670
452,대봉엘에스,78140
453,대상,1680
454,대상홀딩스,84690
455,대성미생물,36480
456,대성산업,128820
457,대성에너지,117580
458,대성엘텍,25440
459,대성창투,27830
460,대성파인텍,104040
461,대성하이텍,129920
462,대성홀딩스,16710
463,대신밸런스제10호스팩,387310
464,대신밸런스제11호스팩,397500
465,대신밸런스제12호스팩,426670
466,대신밸런스제13호스팩,438220
467,대신밸런스제14호스팩,442310
468,대신정보통신,20180
469,대신증권,3540
470,대아티아이,45390
471,대양금속,9190
472,대양전기공업,108380
473,대양제지,6580
